NoB; FPS; CoC
18;60;3
18;60;2
18;60;5
19;60;7
19;60;6
19;60;8
20;60;7
20;60;6
20;60;12
21;60;10
21;60;13
21;60;13
22;60;15
22;60;15
22;60;17
23;60;18
23;60;25
23;60;24
24;60;26
24;60;27
24;60;25
25;60;25
25;60;27
25;60;26
26;60;32
26;60;32
26;60;34
27;60;37
27;60;37
27;60;38
28;60;35
28;60;36
28;60;32
29;60;31
29;60;35
29;60;42
30;60;29
30;60;37
30;60;38
31;60;35
31;60;38
31;60;38
32;60;36
32;60;39
32;60;42
33;60;44
33;60;45
33;60;46
34;60;46
34;60;49
34;60;49
35;60;50
35;60;49
35;60;49
36;60;52
36;60;53
36;60;56
37;60;60
37;60;73
37;60;73
38;60;80
38;60;82
38;60;85
39;60;83
39;60;94
39;60;91
40;60;103
40;60;115
40;60;128
41;60;138
41;60;147
41;60;160
42;60;179
42;60;186
42;60;196
43;60;214
43;60;236
43;60;251
44;60;280
44;60;293
44;60;310
45;60;328
45;60;341
45;60;362
46;60;376
46;60;391
46;60;400
47;60;419
47;60;438
47;60;461
48;60;475
48;60;496
48;60;506
49;60;521
49;60;560
49;60;581
50;60;608
50;60;631
50;60;661
51;60;691
51;60;724
51;60;739
52;60;766
52;60;785
52;60;811
53;60;838
53;60;864
53;60;877
54;60;901
54;60;941
54;60;967
55;60;1007
55;60;1037
55;60;1063
56;60;1083
56;60;1108
56;60;1120
57;60;1160
57;60;1183
57;60;1205
58;60;1254
58;60;1287
58;60;1306
59;60;1347
59;60;1370
59;60;1382
60;60;1417
60;60;1447
60;60;1468
61;60;1504
61;60;1540
61;60;1553
62;60;1595
62;60;1643
62;60;1658
63;60;1689
63;60;1713
63;60;1726
64;60;1769
64;60;1793
64;60;1818
65;60;1853
65;60;1879
65;60;1892
66;60;1933
66;60;1955
66;60;1972
67;60;2014
67;60;2030
67;60;2049
68;60;2099
68;60;2115
68;60;2128
69;60;2167
69;60;2185
69;60;2220
70;60;2273
70;60;2308
70;60;2316
71;60;2353
71;60;2387
71;60;2414
72;60;2459
