NoB; FPS; CoC
18;60;3
18;60;2
18;60;5
19;60;7
19;60;4
19;60;7
20;60;6
20;60;9
20;60;15
21;60;15
21;60;18
21;60;18
22;60;21
22;60;24
22;60;24
23;60;25
23;60;27
23;60;28
24;60;30
24;60;31
24;60;30
25;60;33
25;60;36
25;60;38
26;60;39
26;60;40
26;60;42
27;60;43
27;60;45
27;60;46
28;60;48
28;60;50
28;60;51
29;60;53
29;60;54
29;60;56
30;60;57
30;60;59
30;60;60
31;60;62
31;60;63
31;60;65
32;60;66
32;60;68
32;60;69
33;60;71
33;60;72
33;60;74
34;60;75
34;60;77
34;60;78
35;60;80
35;60;81
35;60;78
36;60;84
36;60;81
36;60;82
37;60;82
37;60;81
37;60;82
38;60;85
38;60;84
38;60;78
39;60;80
39;60;78
39;60;74
40;60;61
40;60;53
40;60;55
41;60;54
41;60;48
41;60;38
42;60;38
42;60;45
42;60;48
43;60;51
43;60;41
43;60;44
44;60;59
44;60;67
44;60;76
45;60;75
45;60;72
45;60;72
46;60;75
46;60;74
46;60;75
47;60;80
47;60;82
47;60;92
48;60;90
48;60;88
48;60;86
49;60;92
49;60;107
49;60;97
50;60;87
50;60;76
50;60;74
51;60;98
51;60;97
51;60;103
52;60;95
52;60;85
52;60;86
53;60;93
53;60;87
53;60;89
54;60;95
54;60;91
54;60;93
55;60;99
55;60;108
55;60;110
56;60;104
56;60;99
56;60;110
57;60;108
57;60;104
57;60;112
58;60;131
58;60;125
58;60;132
59;60;124
59;60;110
59;60;104
60;60;103
60;60;97
60;60;101
61;60;124
61;60;128
61;60;119
62;60;113
62;60;117
62;60;116
63;60;133
63;60;135
63;60;137
64;60;140
64;60;138
64;60;141
65;60;145
65;60;153
65;60;157
66;60;163
66;60;166
66;60;170
67;60;167
67;60;137
67;60;140
68;60;142
68;60;117
68;60;117
69;60;123
69;60;152
69;60;154
70;60;152
70;60;148
70;60;143
71;60;139
71;60;132
71;60;151
72;60;161
72;60;156
72;60;158
73;60;177
73;60;165
73;60;176
74;60;183
74;60;184
74;60;194
